,ST,ST_conf,S1,S1_conf
A.0_ID flood wave shape,0.023335067856604524,0.0035151054379237755,0.0028743442731185113,0.007776700603267339
A.1_Bmax,0.007149760907685161,0.0030287052060274217,0.003722392799932443,0.0034082239111077007
A.1_Brate,0.00010844289008987271,6.029852110868261e-05,5.9074392967762406e-05,0.0004556365947335374
A.1_pfail,0.06982972253370648,0.017265120633993245,0.02241183749411918,0.0136282578126583
A.2_Bmax,0.00252409274613526,0.0020079931602560775,-0.002464812249990028,0.0028131901710315983
A.2_Brate,0.0001020747035130608,7.404046883729845e-05,-0.0002413457039094749,0.0004893055103026011
A.2_pfail,0.03326979913318386,0.011515739631695637,0.0030755949518427774,0.0063836477815445635
A.3_Bmax,0.0025758283886938575,0.0014613594409645396,-0.0010555799168841023,0.0023496642726744763
A.3_Brate,0.00022303874206547236,0.0001609509673579823,0.00011870449926214797,0.0006916552384032649
A.3_pfail,0.0533064402253773,0.016239454309279942,0.016448455074305507,0.014200235889232301
A.4_Bmax,6.272839739828554e-05,3.422296932200529e-05,1.3297898890931812e-05,0.0003381588152391585
A.4_Brate,1.7548478958176256e-05,1.5276809749850178e-05,0.0001262883396655117,0.00024938328857951726
A.4_pfail,0.02555919301698816,0.00773722116273649,0.007226135845804581,0.008815533201312052
A.5_Bmax,0.0,0.0,0.0,0.0
A.5_Brate,0.0,0.0,0.0,0.0
A.5_pfail,0.8242845454897806,0.046303494712246415,0.7047291618098114,0.06458915645511483
discount rate 0,0.008972749192387885,0.0009986870565666457,0.0005035844830665449,0.005669557475975668
discount rate 1,0.010226989113543104,0.0013503443420915058,0.003748405135580555,0.005434394025248892
discount rate 2,0.010461112183937022,0.0014196997177075385,0.007085223044099863,0.005825527716599305
